Pelvis Tilt mean;Pelvis Tilt SD;Pelvis Obliquity mean;pelvis Obliquity SD;Pelvis Rotation Mean;Pelvis Rotation SD;Hip Sagittal mean;Hip Sagittal SD;Hip Frontal mean;Hip Frontal SD;Hip Longitudinal mean;Hip Longitudinal SD;Knee Sagittal mean;Knee Sagittal SD;Knee Frontal mean;Knee Frontal SD;Knee Longitudinal mean;Knee Longitudinal SD;Ankle Sagittal mean;Ankle Sagittal SD;Ankle Frontal mean;Ankle Frontal SD;Ankle Longitudinal mean;Ankle Longitudinal SD
16,34877726;5,160746119;0,715580434;2,268840022;0,972022523;4,143851955;35,16426608;6,376923016;0,472302251;3,598781113;12,31079073;10,17041269;21,10611466;7,86843076;4,10461164;5,836525001;5,948363495;9,882046905;3,515221622;3,32089799;-30,89129526;13,5481709;-8,371578232;6,58781855
16,401;5,166;0,775;2,274;1,283;4,218;35,509;6,362;0,589;3,592;9,632;10,014;18,24;7,519;2,413;5,292;5,08;9,748;3,219;3,304;-28,306;14,06;-8,624;6,644
16,43331786;5,16702555;0,82240655;2,284154798;1,601475991;4,288946535;35,78802183;6,34117014;0,672600377;3,595342153;6,753584673;9,685769311;15,41395539;7,188601888;0,934300149;4,702666503;4,304266155;9,61527828;2,913887506;3,343563284;-25,48697317;14,4663529;-8,865129363;6,693031467
16,445;5,165;0,86;2,297;1,922;4,355;35,992;6,32;0,725;3,609;3,86;9,22;12,671;6,884;-0,279;4,135;3,639;9,497;2,618;3,427;-22,612;14,732;-9,075;6,744
16,43682631;5,161776682;0,890543365;2,310665786;2,239823515;4,413861905;36,11364658;6,304771426;0,75179624;3,631475276;1,140745575;8,679135063;10,0656888;6,606661689;-1,197937235;3,656933987;3,092946885;9,404089974;2,346603352;3,534098875;-19,86593708;14,83904252;-9,234779317;6,802680582
16,412;5,158;0,92;2,325;2,549;4,462;36,157;6,304;0,763;3,66;-1,26;8,159;7,678;6,355;-1,833;3,302;2,638;9,339;2,111;3,648;-17,394;14,83;-9,333;6,861
16,37375192;5,153992723;0,954169991;2,339682058;2,844104951;4,496480844;36,12839184;6,323869157;0,771339662;3,691756743;-3,216316975;7,737315437;5,591164418;6,128001358;-2,215676209;3,084222549;2,243571304;9,299236825;1,918199086;3,753791216;-15,32640352;14,74997704;-9,363003368;6,906371205
16,323;5,15;0,995;2,352;3,123;4,518;36,032;6,359;0,796;3,725;-4,63;7,386;3,876;5,93;-2,422;2,974;1,906;9,271;1,762;3,841;-13,773;14,594;-9,33;6,922
16,26079103;5,146002426;1,04415167;2,359605981;3,383006683;4,528214719;35,87366105;6,402626948;0,855345113;3,757872752;-5,433977675;7,057103188;2,587778527;5,767457881;-2,53023293;2,934675817;1,628142899;9,239587725;1,626475305;3,902361261;-12,81332383;14,34817432;-9,240832211;6,895209598
16,191;5,141;1,106;2,364;3,616;4,529;35,668;6,454;0,958;3,787;-5,658;6,729;1,732;5,65;-2,583;2,945;1,412;9,198;1,47;3,939;-12,426;14,013;-9,097;6,834
